index,nakshatra,start_deg_ecliptic,end_deg_ecliptic
1,Ashwini,0.0,13.3333333333
2,Bharani,13.3333333333,26.6666666667
3,Krittika,26.6666666667,40.0
4,Rohini,40.0,53.3333333333
5,Mrigashira,53.3333333333,66.6666666667
6,Ardra,66.6666666667,80.0
7,Punarvasu,80.0,93.3333333333
8,Pushya,93.3333333333,106.6666666667
9,Ashlesha,106.6666666667,120.0
10,Magha,120.0,133.3333333333
11,Purva Phalguni,133.3333333333,146.6666666667
12,Uttara Phalguni,146.6666666667,160.0
13,Hasta,160.0,173.3333333333
14,Chitra,173.3333333333,186.6666666667
15,Swati,186.6666666667,200.0
16,Vishakha,200.0,213.3333333333
17,Anuradha,213.3333333333,226.6666666667
18,Jyeshtha,226.6666666667,240.0
19,Mula,240.0,253.3333333333
20,Purva Ashadha,253.3333333333,266.6666666667
21,Uttara Ashadha,266.6666666667,280.0
22,Shravana,280.0,293.3333333333
23,Dhanishta,293.3333333333,306.6666666667
24,Shatabhisha,306.6666666667,320.0
25,Purva Bhadrapada,320.0,333.3333333333
26,Uttara Bhadrapada,333.3333333333,346.6666666667
27,Revati,346.6666666667,360.0
